Date,Price,Open,High,Low,Vol.,Change %
12/12/2022,0.0698,0.0691,0.0699,0.0685,7.27M,0.72%
12/9/2022,0.0693,0.0686,0.07,0.0683,3.97M,0.58%
12/8/2022,0.0689,0.0698,0.0698,0.0683,2.25M,-0.72%
12/7/2022,0.0694,0.0699,0.0699,0.0636,14.03M,0.73%
12/6/2022,0.0689,0.0699,0.0703,0.0683,3.05M,-0.43%
12/5/2022,0.0692,0.0692,0.0708,0.0681,5.73M,-0.43%
12/2/2022,0.0695,0.0689,0.07,0.0672,4.60M,-0.14%
12/1/2022,0.0696,0.0691,0.07,0.0682,3.00M,0.87%
11/30/2022,0.069,0.0699,0.0703,0.066,11.66M,0.00%
11/29/2022,0.069,0.0749,0.0749,0.069,10.81M,-0.72%
11/28/2022,0.0695,0.0696,0.0754,0.0689,43.71M,0.72%
11/25/2022,0.069,0.0695,0.0701,0.0688,3.88M,-0.58%
11/24/2022,0.0694,0.0702,0.071,0.0694,1.34M,-0.57%
11/23/2022,0.0698,0.0696,0.07,0.069,2.82M,0.43%
11/22/2022,0.0695,0.0689,0.071,0.0682,4.68M,1.16%
11/21/2022,0.0687,0.0702,0.0704,0.0681,3.96M,-1.72%
11/18/2022,0.0699,0.0719,0.0721,0.068,8.96M,-2.10%
11/17/2022,0.0714,0.0709,0.0718,0.0694,5.69M,2.15%
11/16/2022,0.0699,0.0715,0.0715,0.069,3.88M,-1.41%
11/15/2022,0.0709,0.073,0.074,0.0681,8.48M,-3.01%
11/14/2022,0.0731,0.0718,0.0744,0.0692,16.34M,2.96%
11/11/2022,0.071,0.07,0.073,0.0673,42.67M,3.20%
11/10/2022,0.0688,0.0674,0.0721,0.066,45.02M,4.24%
11/9/2022,0.066,0.0677,0.0677,0.0655,4.55M,-1.35%
11/8/2022,0.0669,0.0671,0.068,0.0665,7.23M,-0.30%
11/7/2022,0.0671,0.0669,0.068,0.0652,13.37M,0.30%
11/3/2022,0.0669,0.0686,0.0692,0.0666,15.87M,-2.76%
11/2/2022,0.0688,0.0688,0.0703,0.0687,3.47M,-2.13%
11/1/2022,0.0703,0.0699,0.0712,0.069,14.67M,0.43%
10/31/2022,0.07,0.0693,0.073,0.069,16.50M,2.19%
10/28/2022,0.0685,0.0687,0.0763,0.0665,61.87M,-0.29%
10/27/2022,0.0687,0.0677,0.0687,0.0658,7.16M,1.48%
10/26/2022,0.0677,0.0673,0.069,0.0671,6.01M,0.45%
10/25/2022,0.0674,0.0668,0.0694,0.0659,20.04M,0.60%
10/24/2022,0.067,0.0677,0.0678,0.066,1.84M,1.21%
10/21/2022,0.0662,0.0665,0.0683,0.0651,2.81M,-0.75%
10/20/2022,0.0667,0.0643,0.0714,0.064,8.76M,3.41%
10/19/2022,0.0645,0.0665,0.0665,0.064,2.08M,-3.30%
10/18/2022,0.0667,0.068,0.0689,0.0667,2.55M,-1.77%
10/17/2022,0.0679,0.0663,0.0695,0.0657,8.45M,3.03%
10/14/2022,0.0659,0.0656,0.0679,0.0656,5.82M,1.38%
10/13/2022,0.065,0.0624,0.0656,0.0624,2.76M,4.17%
10/12/2022,0.0624,0.0626,0.064,0.0622,1.84M,0.32%
10/11/2022,0.0622,0.0612,0.0631,0.0608,7.68M,2.47%
10/10/2022,0.0607,0.0609,0.0615,0.0568,7.11M,-0.82%
